factor,category,bull_mean_pct,bull_t,bull_n,bear_mean_pct,bear_t,bear_n,diff_bull_minus_bear,diff_t
accruals_ratio,Fundamental,-0.3613,-2.4806,218.0000,-0.4392,-3.5927,117.0000,0.0779,0.4099
asset_growth,Fundamental,-0.9459,-3.1957,260.0000,-1.1833,-4.3678,123.0000,0.2374,0.5916
bm,Valuation,-5.0714,-11.0636,263.0000,-2.2695,-5.8012,127.0000,-2.8019,-4.6495
idiovol,Market,-11.7588,-14.4801,49.0000,-7.4820,-7.9159,11.0000,-4.2767,-3.4320
leverage,Fundamental,0.0553,0.2403,263.0000,0.2839,1.1671,127.0000,-0.2286,-0.6824
momentum,Market,-0.7738,-2.0998,259.0000,-0.4008,-0.8432,120.0000,-0.3730,-0.6202
reversal,Market,1.0896,2.5456,262.0000,1.4236,3.8903,127.0000,-0.3340,-0.5931
roa,Fundamental,1.1068,3.1792,260.0000,2.1482,5.1917,123.0000,-1.0414,-1.9259
seo_indicator,Event,-0.0414,-0.1563,205.0000,-0.6106,-2.6267,117.0000,0.5692,1.6153
size,Market,-2.0386,-5.3913,263.0000,-2.9040,-6.2974,127.0000,0.8654,1.4511
turnover,Market,-2.5772,-3.8695,48.0000,-0.0881,-0.0496,11.0000,-2.4891,-1.3114
Average,All,-1.9379,,,-1.0474,,,-0.8904,
